"LAW_CD","EMD_CD","GU_NM","LAW_NM"
"1138010700","11380107",은평구,응암동
"1138010800","11380108",은평구,역촌동
"1138010900","11380109",은평구,신사동
"1138011000","11380110",은평구,증산동
"1138011400","11380114",은평구,진관동
"1141010100","11410101",서대문구,충정로2가
"1141010200","11410102",서대문구,충정로3가
"1141010300","11410103",서대문구,합동
"1141010400","11410104",서대문구,미근동
"1141010500","11410105",서대문구,냉천동
"1141010600","11410106",서대문구,천연동
"1141010700","11410107",서대문구,옥천동
"1141010800","11410108",서대문구,영천동
"1141010900","11410109",서대문구,현저동
"1141011000","11410110",서대문구,북아현동
"1141011100","11410111",서대문구,홍제동
"1141011200","11410112",서대문구,대현동
"1141011300","11410113",서대문구,대신동
"1141011400","11410114",서대문구,신촌동
"1141011500","11410115",서대문구,봉원동
"1141011600","11410116",서대문구,창천동
"1141011700","11410117",서대문구,연희동
"1141011800","11410118",서대문구,홍은동
"1141011900","11410119",서대문구,북가좌동
"1141012000","11410120",서대문구,남가좌동
"1144010100","11440101",마포구,아현동
"1144010200","11440102",마포구,공덕동
"1144010300","11440103",마포구,신공덕동
"1144010400","11440104",마포구,도화동
"1144010500","11440105",마포구,용강동
"1144010600","11440106",마포구,토정동
"1144010700","11440107",마포구,마포동
"1144010800","11440108",마포구,대흥동
"1144010900","11440109",마포구,염리동
"1144011000","11440110",마포구,노고산동
"1144011100","11440111",마포구,신수동
"1144011200","11440112",마포구,현석동
"1144011300","11440113",마포구,구수동
"1144011400","11440114",마포구,창전동
"1144011500","11440115",마포구,상수동
"1144011600","11440116",마포구,하중동
"1144011700","11440117",마포구,신정동
"1144011800","11440118",마포구,당인동
"1144012000","11440120",마포구,서교동
"1144012100","11440121",마포구,동교동
"1144012200","11440122",마포구,합정동
"1144012300","11440123",마포구,망원동
"1144012400","11440124",마포구,연남동
"1144012500","11440125",마포구,성산동
"1144012600","11440126",마포구,중동
"1144012700","11440127",마포구,상암동
"1147010100","11470101",양천구,신정동
"1147010200","11470102",양천구,목동
"1147010300","11470103",양천구,신월동
"1150010100","11500101",강서구,염창동
"1150010200","11500102",강서구,등촌동
"1150010300","11500103",강서구,화곡동
"1150010400","11500104",강서구,가양동
"1150010500","11500105",강서구,마곡동
"1150010600","11500106",강서구,내발산동
"1150010700","11500107",강서구,외발산동
"1150010800","11500108",강서구,공항동
"1150010900","11500109",강서구,방화동
"1150011000","11500110",강서구,개화동
"1150011100","11500111",강서구,과해동
"1150011200","11500112",강서구,오곡동
"1150011300","11500113",강서구,오쇠동
"1153010100","11530101",구로구,신도림동
"1153010200","11530102",구로구,구로동
"1153010300","11530103",구로구,가리봉동
"1153010600","11530106",구로구,고척동
"1153010700","11530107",구로구,개봉동
"1153010800","11530108",구로구,오류동
"1153010900","11530109",구로구,궁동
"1153011000","11530110",구로구,온수동
"1153011100","11530111",구로구,천왕동
"1153011200","11530112",구로구,항동
